ID,Hemisphere,Basin,Biome,Province,Code
0,L,Land,Land,Land,LAND
1,N,Arctic,Polar,Boreal Polar Province,BPRL
2,N,Atlantic,Polar,Atlantic Arctic Province,ARCT
3,N,Atlantic,Polar,Atlantic Subarctic Province,SARC
4,N,Atlantic,Westerlies,N. Atlantic Drift Province,NADR
5,N,Atlantic,Westerlies,Gulf Stream Province,GFST
6,N,Atlantic,Westerlies,N. Atlantic Subtropical Gyre Province (West),NAST W
7,T,Atlantic,Trades,N. Atlantic Tropical Gyre Province,NATR
8,T,Atlantic,Trades,Western Tropical Atlantic Province,WTRA
9,T,Atlantic,Trades,Eastern Tropical Atlantic Province,ETRA
10,T,Atlantic,Trades,South Atlantic Gyre Province,SATL
11,N,Atlantic,Coastal,NE Atlantic Shelves Province,NECS
12,N,Atlantic,Coastal,Canary Coastal Province,CNRY
13,T,Atlantic,Coastal,Guinea Current Coastal Province,GUIN
14,T,Atlantic,Coastal,Guianas Coastal Province,GUIA
15,N,Atlantic,Coastal,NW Atlantic Shelves Province,NWCS
16,N,Atlantic,Westerlies,Mediterranean Sea,MEDI
17,T,Atlantic,Trades,Caribbean Province ,CARB
18,N,Atlantic,Westerlies,N. Atlantic Subtropical Gyre Province (East),NAST E
19,N,Atlantic,Coastal,Cheasapeake Bay Province,CHSB
20,T,Atlantic,Coastal,Brazil Current Coastal Province,BRAZ
21,S,Atlantic,Coastal,SW Atlantic Shelves Province,FKLD
22,T,Atlantic,Coastal,Benguela Current Coastal Province,BENG
23,T,Indian,Trades,Indian Monsoon Gyres Province,MONS
24,T,Indian,Trades,Indian S. Subtropical Gyre Province,ISSG
25,T,Indian,Coastal,E. Africa Coastal Province,EAFR
26,T,Indian,Coastal,"Red Sea, Persian Gulf Province",REDS
27,T,Indian,Coastal,NW Arabian Upwelling Province,ARAB
28,T,Indian,Coastal,E. India Coastal Province,INDE
29,T,Indian,Coastal,W. India Coastal Province,INDW
30,T,Indian,Coastal,Australia-Indonesia Coastal Province,AUSW
31,N,Pacific,Polar,N. Pacific Epicontinental Province,BERS
32,N,Pacific,Westerlies,Pacific Subarctic Gyres Province (East),PSAE
33,N,Pacific,Westerlies,Pacific Subarctic Gyres Province (West),PSAW
34,N,Pacific,Westerlies,Kuroshio Current Province,KURO
35,N,Pacific,Westerlies,N. Pacific Polar Front Province,NPPF
36,N,Pacific,Westerlies,N. Pacific Subtropical Gyre Province (East),NPSE
37,N,Pacific,Westerlies,N. Pacific Subtropical Gyre Province (West),NPSW
38,N,Pacific,Westerlies,Offshore California Current Province,OCAL
39,S,Pacific,Westerlies,Tasman Sea Province,TASM
40,T,Pacific,Trades,South Pacific Gyre Province,SPSG
41,T,Pacific,Trades,N. Pacific Tropical Gyre Province,NPTG
42,T,Pacific,Trades,N. Pacific Equatorial Countercurrent Province,PNEC
43,T,Pacific,Trades,Pacific Equatorial Divergence Province,PEQD
44,T,Pacific,Trades,W. Pacific Warm Pool Province,WARM
45,T,Pacific,Trades,Archipelagic Deep Basins Province,ARCH
46,N,Pacific,Coastal,Alaska Downwelling Coastal Province,ALSK
47,N,Pacific,Coastal,California Upwelling Coastal Province,CCAL
48,T,Pacific,Coastal,Central American Coastal Province,CAMR
49,T,Pacific,Coastal,Chile-Peru Current Coastal Province,HUMB
50,N,Pacific,Coastal,China Sea Coastal Province,CHIN
51,T,Pacific,Coastal,Sunda-Arafura Shelves Province,SUND
52,T,Pacific,Coastal,East Australian Coastal Province,AUSE
53,S,Pacific,Coastal,New Zealand Coastal Province,NEWZ
54,S,Southern,Westerlies,S. Subtropical Convergence Province,SSTC
55,S,Southern,Westerlies,Subantarctic Province ,SANT
56,S,Southern,Polar,Antarctic Province ,ANTA
57,S,Southern,Polar,Austral Polar Province,APLR
